GERMAN_NOUN,ENGLISH_TRANSLATION,PLURAL,EXAMPLE
das Immunsystem,immune system,die Immunsysteme,Dieses Medikament unterstützt die Regenerierung des Immunsystems.
das Griechisch,Greek (language),no plural,"Zum Theologiestudium gehört es, Griechisch zu lernen."
das Video,video,die Videos,Wollen wir ein Video ausleihen?
die Not,"need, trouble (N~)",die Nöte,Das Schiff ist in Not geraten.
die Persönlichkeit,"personality, celebrity",die Persönlichkeiten,Diana ist eine berühmte Persönlichkeit.
die Seele,"soul, mind",die Seelen,Leib und Seele müssen gesund sein.
der Schlüssel,key,die Schlüssel,Ich finde meinen Schlüssel nicht.
der Schreibtisch,desk,die Schreibtische,Elke arbeitet am Schreibtisch.
die Unternehmung,"undertaking, venture",die Unternehmungen,Das Hotel bietet verschiedene Unternehmungen an.
die Vereinbarung,agreement (V~),die Vereinbarungen,Wir haben eine Vereinbarung getroffen.
die Handlung,"action, plot (H~)",die Handlungen,Ich kann mich nicht mehr an die Handlung des Films erinnern.
die Ferne,distance (F~),die Fernen,"Warum in die Ferne schweifen, wenn das Gute liegt so nah."
das Café,"café, coffee house",die Cafés,In welchem Cafe wollen wir uns treffen?
die Erzählung,"narration, story",die Erzählungen,Hermann Hesse hat viele Erzählungen geschrieben.
die Wahrnehmung,perception,die Wahrnehmungen,Bei Alkoholkonsum wird die Wahrnehmung verzerrt.
das Gedicht,poem,die Gedichte,Anna liest gern Gedichte.
die Äußerung,comment (Ä~),die Äußerungen,Bitte vermeide unsachliche Äußerungen!
der Angestellte,employee (An~),die Angestellten,Die Angestellten machen einen Betriebsausflug.
die Datei,data file,die Datein,Können Sie mir die Datei schicken?
die Begegnung,"encounter, meeting",die Begegnungen,Die Begegnung war für beide vollkommen unerwartet.
die Dienstleistung,service (D~),die Dienstleistungen,Die kostenlose Lieferung nach Hause ist eine Dienstleistung des Unternehmens.
die Vielzahl,multitude,no plural,Dieses Restaurant hat eine Vielzahl von Speisen im Angebot.
der Träger,"holder, responsible body",die Träger,"Träger von Rechten und Pflichten ist jeder, der volljährig ist."
die Tonne,"ton, barrel",die Tonnen,Das Auto wiegt etwa eine Tonne.
der Trend,trend (Tr~),die Trends,Ein neuer Trend in der Mode kommt auf.
der Kanton,"canton (Switzerland), province",die Kantone,Die Schweiz besteht aus 26 Kantonen.
der Keller,"cellar, basement",die Keller,Der Wirt holt eine Flasche Wein aus dem Keller.
die Gründung,foundation,die Gründungen,Die Gründung eines Vereins erfordert mindestens sieben Mitglieder.
der Verwandte,relative,die Verwandten,Zur Hochzeit sind alle Verwandten eingeladen.
die Operation,operation,die Operationen,Die Operation dauerte vier Stunden.
die Qualifikation,qualification,die Qualifikationen,Sie hat eine gute Qualifikation für den Job.
das Konto,account,"die Konten, Kontos",Auf welches Konto soll ich das Geld überweisen?
die Variante,"variant, variation",die Varianten,Welche Variante bevorzugst du?
die Vielfalt,diversity,no plural,"Es ist wichtig, eine Vielfalt an Meinungen zu haben."
die Sammlung,collection,die Sammlungen,Im Museum kann man eine Sammlung alter Münzen anschauen.
die Aufwendungen,expenditure,no singular,Persönliche Aufwendungen für Reise und Unterkunft werden Ihnen erstattet.
die Berechnung,calculation (B~),die Berechnungen,Seine Berechnungen sind falsch.
die Zahlung,payment,die Zahlungen,Die Zahlung erfolgt bar.
der Bestand,"continuation, stock, supply",die Bestände,Die Bibliothek hat einen großen Bestand alter Bücher.
der Arbeiter,worker,die Arbeiter,Die Arbeiter kommen gut voran.
der Entwurf,"sketch, design, draft (E~)",die Entwürfe,Hier ist der erste Entwurf des Gebäudes.
der Bauch,belly,die Bäucher,Mein Bauch tut weh.
der Aufwand,"expense, effort (A~)",die Aufwände,"Es ist die Frage, ob sich der Aufwand hier lohnt."
das Entwicklungsland,developing country,die Entwicklungsländer,Entwicklungsländer sind auf Hilfe angewiesen.
der Kern,"seed, core, nucleus",die Kerne,Hast du den Kern der Aussage verstanden?
die Hose,"trousers, pants",die Hosen,Mira hat sich eine schicke Hose gekauft.
der Impuls,"impulse, stimulus (I~)",die Impulse,Ein neuer Impuls motivierte die Mitarbeiter.
die Finanzierung,financing,die Finanzierungen,Die Finanzierung des Projektes war nicht ganz einfach.
das Kapital,capital (economics),die Kapitalien,Das Unternehmen verfügt nur über geringes Kapital.
die Fachhochschule,technical college (of higher education),die Fachhochschulen,Auch an Fachhochschulen soll man zukünftig promovieren können.
der Fernseher,television set,die Fernseher,Schalt endlich den Fernseher ab!
der Motor,"motor, engine",die Motoren,Der Motor ist kaputt.
der Rang,"standing, status",die Ränge,Kunst und Kultur haben einen hohen Rang.
der Zahn,tooth,die Zähne,Der Zahnarzt zieht mir einen Zahn.
die Republik,republic,die Republiken,Die Republik ist eine Staatsform.
das Salz,salt,die Salze,An der Suppe fehlt Salz.
der Wahlkampf,election campaign,die Wahlkämpfe,Der Wahlkampf ist in seiner heißen Phase.
die Wolke,cloud,die Wolken,Heute sind viele Wolken am Himmel.
die Behinderung,"obstruction, handicap",die Behinderungen,Sie hat eine leichte Behinderung.
der Stil,style,die Stile,Die Kirche ist im romanischen Stil gebaut.
der Regisseur,(film) director,die Regisseure,Roman Polanski ist ein bekannter Regisseur.
die Anstrengung,effort (A~),die Anstrengungen,Skispringen erfordert einige Anstrengung.
die Vermittlung,"negotiation, placement (not 'Verhandlung')",die Vermittlungen,Das Akademische Auslandsamt ist für die Vermittlung von Erasmusstudenten zuständig.
die Kooperation,cooperation (K~),die Kooperationen,Die Bereitschaft zur Kooperation ist vorhanden.
der Einwohner,inhabitant (E~),die Einwohner,Wie viele Einwohner hat Berlin?
der Bord,board (B~),die Borde,Wie viele Personen sind an Bord des Flugzeuges?
das Symbol,symbol,die Symbole,Was bedeutet dieses Symbol?
die Trennung,separation,die Trennungen,Er leidet sehr unter der Trennung von seiner Frau.
der Eingriff,"intervention, interference",die Eingriffe,Die Verletzung des Postgeheimnisses ist ein Eingriff in die Privatsphäre.
der Dichter,"writer, poet",die Dichter,Goethe ist ein bekannter deutscher Dichter.
der Fan,"fan, supporter",die Fans,Alex ist Fan von Bayern München.
die Hütte,"hut, cabin",die Hütten,Sie haben eine kleine Hütte im Thüringer Wald.
die Stasi,state security service,no plural,Die Stasi war die Überwachungsinstanz der DDR.
der Täter,"culprit, perpetrator",die Täter,Habt ihr den Täter gefasst?
die Übertragung,"transmission, broadcast (Ü~)",die Übertragungen,Die Übertragung des Fußballspiels wurde unterbrochen.
das Handy,mobile phone,die Handys,Mein Handy klingelt.
die Tour,"tour, trip",die Touren,Wir haben eine Tour durch Spanien gemacht.
die Berücksichtigung,consideration (Ber~),die Berücksichtigungen,Eine Berücksichtigung Ihres Antrags ist leider nicht mehr möglich.
die Verfassung,constitution,die Verfassungen,Wann trat die Verfassung der Bundesrepublik in Kraft?
der Architekt,architect,die Architekten,Rudolf Skoda war ein bekannter Architekt.
die Aufmerksamkeit,attention,die Aufmerksamkeiten,Kinder brauchen viel Aufmerksamkeit.
der Beschluss,"decision, resolution",die Beschlüsse,Die Kommission hat den Beschluss erneut geändert.
die Absicht,intention,die Absichten,Das war keine böse Absicht.
die Zeitschrift,"magazine, journal",die Zeitschriften,Ich habe eine Zeitschrift gekauft.
der Griff,"handle, grip, grasp",die Griffe,Du solltest das Messer nur am Griff anfassen.
der Feind,enemy (F~),die Feinde,Der natürliche Feind des Hasen ist der Fuchs.
das Geschlecht,"sex, gender",die Geschlechter,Aufgrund des Geschlechts darf keine Benachteiligung stattfinden.
die Erweiterung,"expansion, extension (E~)",die Erweiterungen,Die Erweiterung der EU wird häufig diskutiert.
der Flüchtling,refugee,die Flüchtlinge,Die Flüchtlinge gelangten mit Booten über die Grenze.
die Bindung,"relationship, attachment",die Bindungen,Zwischen Eltern und Kindern besteht eine enge Bindung.
das Business,business (B~),no plural,Der Geschäftsführer fliegt immer Business Class.
der Ehegatte,husband,die Ehegatten,Bei der Preisverleihung erschien sie mit ihrem Ehegatten.
der Gläubiger,"creditor, believer",die Gläubiger,Der Gläubiger fordert zum Ersten des Monats eine Summe von 1000 Euro.
der Halt,"stop, hold","die Halte, Halts",Der Bus fährt ohne Halt bis Halle.
die Einschätzung,"opinion, assessment, evaluation (Ein~)",die Einschätzungen,Mich interessiert deine Einschätzung der Situation.
die Bibel,bible,die Bibeln,Die Bibel ist das meistverkaufte Buch.
die Entstehung,origin (E~),die Entstehungen,Was weiß man über die Entstehung der Erde?
das Gewissen,conscience,die Gewissen,Esther hat ein reines Gewissen.
das Elektron,electron,die Elektronen,In Physik haben wir über Elektronen gesprochen.
die Flucht,"flight, escape",die Fluchten,Die Flucht war erfolgreich.
die Börse,stock market,die Börsen,Herr Zschoch spekuliert an der Börse.
das Marketing,marketing,no plural,Helge ist für das Marketing in der Firma zuständig.
die Nebenwirkung,side effect,die Nebenwirkungen,Es sind bei dieser Arznei keine Nebenwirkungen bekannt.
der Kindergarten,"kindergarten, nursery school",die Kindergärten,Lucy geht schon in den Kindergarten.
die Infektion,infection,die Infektionen,Die Krankheit wird durch eine Infektion hervorgerufen.
das Orchester,orchestra,die Orchester,In welchem Orchester spielst du?
der Mantel,coat,die Mäntel,Du hast einen schönen dicken Mantel.
der Nationalsozialist,"National Socialist, Nazi","die Nationalsozialisten, Nazis",Die Nazis ermordeten Dietrich Bonhoeffer.
der Kontinent,continent,die Kontinente,Viele Menschen haben Angst vor der Kündigung ihres Arbeitsplatzes.
das Klima,climate,"die Klimas, Klimate",In Utah herrscht kontinentales Klima.
das Hemd,shirt,die Hemden,Er trägt ein buntes Hemd.
der Mut,courage,no plural,Die Situation erfordert viel Mut.
das Paket,"parcel, package",die Pakete,Das Paket ist rechtzeitig angekommen.
die Kündigung,"termination, (notice of) dismissal",die Kündigungen,Viele Menschen haben Angst vor der Kündigung ihres Arbeitsplatzes.
die Oper,opera,die Opern,Zu Weihnachten habe ich Karten für die Oper bekommen.
das Vorgehen,action (V~),no plural,Die Opposition kritisiert das Vorgehen der Polizei gegen die Demonstranten.
der Übergang,"crossing, transition",die Übergänge,Die Pubertät ist der Übergang von der Kindheit zum Erwachsensein.
die Ressource,resource,die Ressourcen,"Recycling ist ein Versuch, Ressourcen zu schonen."
die Scheibe,"disc, slice, (glass) pane",die Scheiben,Die Erde ist keine Scheibe.
das Vorbild,"model, example (not 'Vorlage')",die Vorbilder,"Vorbild zu sein bedeutet, an der Ampel nur bei Grün die Straße zu überqueren."
die Stille,"silence, peace (St~)",no plural,Pettersson genoss die Stille.
die These,thesis,die Thesee,In seiner Einleitung formuliert der Autor drei Thesen.
der Transport,transportation,die Transporte,Wir übernehmen den Transport Ihrer Möbel.
der Widerspruch,"contradiction, dissent",die Widersprüche,Ihre Meinung steht in klarem Widerspruch zu Ihren Ergebnissen.
die Revolution,revolution,die Revolutionen,Die Französische Revolution begann 1789.
die Richtlinie,guideline (R~),die Richtlinien,Wir brauchen für unser Vorgehen eine Richtlinie.
der Stress,stress,die Stresse,Isabel hat in letzter Zeit viel Stress.
die Rückkehr,return,no plural,Nach dem Krieg begann die Rückkehr der Flüchtlinge.
die Distanz,distance (D~),die Distanzen,Das Internet erlaubt schnelle Kommunikation übergroße Distanzen hinweg.
der Aufenthalt,"stay, residence",die Aufenthalte,In Frankfurt habe ich vier Stunden Aufenthalt.
der Besitz,"property, possession (B~)",die Besitze,Im Besitz der Familie befinden sich drei Villen.
der Alkohol,alcohol,die Alkohole,Bier enthält ca. fünf Prozent Alkohol.
der Ball,ball,die Bälle,Der Ball ist unter das Auto gerollt.
die Wüste,desert,die Wüsten,Die Sahara ist eine Wüste in Afrika.
die Frist,"time period, deadline",die Fristen,In zwei Wochen läuft die Frist für den Widerspruch ab.
die Aussicht,"prospect, view",die Aussichten,Dieser Antrag hat kaum Aussicht auf Erfolg.
das Ei,egg,die Eier,Die beiden Brüder ähneln sich wie ein Ei dem anderen.
die Bemerkung,"remark, comment (B~)",die Bemerkungen,Dazu möchte ich einige Bemerkungen machen.
die Anerkennung,recognition,die Anerkennungen,Durch unermüdliches Engagement erwarb er sich die Anerkennung durch die Kollegen.
die Presse,press,die Pressen,Die Presse wittert schon wieder einen Skandal.
der Höhepunkt,"hight point, peak (H~)",die Höhepunkte,Die Stimmung war.auf dem Höhepunkt.
das Kreuz,cross,die Kreuze,Das Kreuz auf der Kirche ist vergoldet.
das Geschenk,gift,die Geschenke,Das Buch ist ein Geschenk von Tante Marianne.
der Horizont,horizon,die Horizonte,Hinter dem Horizont geht es weiter.
die Notwendigkeit,necessity,die Notwendigkeiten,Dafür besteht keine Notwendigkeit.
die Gestaltung,"design, organisation (G~)",die Gestaltungen,Die Gestaltung der Bühne übernimmt der Bühnenbildner.
das Heim,home (H~),die Heime,Als Kind wohnte Bernd im Heim.
die Konferenz,conference,die Konferenzen,Die Konferenz der Außenminister findet in Rom statt.
das Organ,organ,die Organe,Die Haut ist das größte Organ des Körpers.
die Rechtsprechung,jurisdiction,die Rechtsprechungen,Jurastudenten trainieren an Beispielen aus der deutschen Rechtsprechung.
die Zeile,line (Z~),die Zeilen,Übersetzer werden pro Zeile bezahlt.
die Übung,"exercise, practice",die Übungen,Das Buch enthält viele Übungen zur Grammatik.
der Ring,ring,die Ringe,Er trägt einen Ring an der linken Hand.
das Regal,shelf,die Regale,Im Regal stapeln sich die ungelesenen Bücher.
der Vortrag,lecture (not 'Vorlesung'),die Vorträge,Diesen Vortrag habe ich schon einmal gehalten.
der Gehalt,"meaning, contents (G~)",die Gehalte,Der Gehalt an Eisen ist in grünem Gemüse besonders hoch.
der Eingang,entrance,die Eingänge,Der Eingang befindet sich gegenüber der Bibliothek.
die Freundschaft,friendship,die Freundschaften,Beim Geld hört die Freundschaft auf.
die Ferien,"holidays, vacation (F~)",no singular,In den Ferien besuchen wir die Oma.
die Fragestellung,problem (F~),die Fragestellungen,Das ist eine sehr komplexe Fragestellung.
die Erscheinung,"phenomen, appearance (E~)",die Erscheinungen,Der Präsident ist eine beeindruckende Erscheinung.
das Geheimnis,secret,die Geheimnisse,Erst ältere Kinder können Geheimnisse bewahren.
der Flug,flight,die Flüge,Der Flug dauert etwa acht Stunden.
der Besitzer,owner (B~),die Besitzer,Der Besitzer des Unfallwagens konnte noch nicht ermittelt werden.
die Ausführung,"implentation, type (A~)",die Ausführungen,Den VW Golf gibt es in verschiedenen Ausführungen.
das Center,centre (C~),die Center,Im Winter trainiere ich im Fitness-Center.
das Frühstück,breakfast,die Frühstücke,Um acht Uhr gibt es Frühstück.
das Gehalt,salary,die Gehälter,Das Gehalt wird am Zehnten des Folgemonats ausgezahlt.
die Miete,rent,die Mieten,Die Miete ist sehr günstig.
die Phantasie,"imagination, fantasy",die Phantasien,Sie hat eine blühende Phantasie.
die Hut,care (H~),no plural,Sei auf der Hut!
die Klage,"complaint, lawsuit (K~)",die Klagen,Die Klage gegen Robert H. wurde wegen Formfehlern abgewiesen.
der Hut 🎩,hat,die Hüte,Heide trägt gern Hüte.
das Protein,protein,die Proteine,"Zehn Prozent des Eiklars sind Proteine, der Rest ist Wasser."
das Geräusch,"sound, noise (G~)",die Geräusche,Was ist das für ein Geräusch?
der Geschmack,taste,die Geschmäcke,Jeder hat einen anderen Geschmack.
der Pass,"pass, passport",die Pässe,Voraussetzung für die Einreise ist ein gültiger Pass.
das Öl,oil,die Öle,"Die nächsten Kriege werden nicht um Öl, sondern um Wasser geführt."
das Gold,gold,no plural,"Es ist nicht alles Gold, was glänzt."
das Medikament,"medicine, drug",die Medikamente,Fast jedes Medikament hat unerwünschte. Nebenwirkungen.
die Lehrerin,teacher (female),die Lehrerinen,Unsere Lehrerin ist sehr streng.
die Klinik,"clinic, hospital",die Kliniken,Diese Klinik hat einen guten Ruf.
die Interpretation,interpretation,die Interpretationen,Das ist alles eine Frage der Interpretation.
der Hafen,harbour,die Häfen,Das Schiff läuft in den Hafen ein.
die Prognose,prognosis,die Prognosen,Die Klimaforscher zeichnen eine düstere Prognose.
die Marke,"brand, stamp",die Marken,Die Marke klebt schief auf dem Umschlag.
die Vorgabe,guideline (V~),die Vorgaben,Die Vorgaben des Verlags sind nicht leicht zu erfüllen.
der Schreck,"fright, shock",die Schrecke,Ach du Schreck!
die Abhängigkeit,dependence,die Abhängigkeiten,Das Gewicht verändert sich in Abhängigkeit zur Größe.
das Weihnachten,Christmas,die Weihnachten,Frohe Weihnachten und ein gutes neues Jahr!
der Turm,tower,die Türme,Vom Turm aus hat man eine gute Aussicht auf die Stadt.
die Serie,series,die Serien,Die Serie von Einbrüchen im Stadtzentrum reißt nicht ab.
das Protokoll,"protocol, minutes, record",die Protokolle,Alle Beschlüsse werden im Protokoll festgehalten.
die Wende,change (esp. the 1989-90 political change in the GDR),die Wenden,Nach der Wende kauften sie ihr altes Haus zurück.
der Tee,tea,die Tees,"Vorsicht, der Tee ist sehr heiß."
die Überzeugung,conviction,die Überzeugungen,Nach meiner Überzeugung ist das richtig.
der Dialog,dialogue,die Dialoge,Das Theaterstück enthält spannende Dialoge.
der Arbeitsmarkt,labour market,die Arbeitsmärkte,Die Lage am Arbeitsmarkt ist unverändert schlecht.
der Ärger,"annoyance, trouble",no plural,Mit dem neuen Computer habe ich nur Ärger.
die Betreuung,care (B~),die Betreuungen,Der Kindergarten bietet auch Betreuung in der Ferienzeit an.
die Bombe,bomb,die Bomben,Bei Bauarbeiten werden immer wieder Bomben aus dem Zweiten Weltkrieg gefunden.
der Austausch,exchange,"die Austausche, Austäusche",Der Austausch der Batterien sollte nur vom Fachmann vorgenommen werden.
die Hitze,heat,no plural,Sprayflaschen muss man vor großer Hitze schützen.
das Gen,gene,die Gene,Defekte Gene können Krankheiten verursachen.
der Maler,painter,die Maler,Der Maler streicht die Wände.
die E-Mail,e-mail,die E-Mails,Ich habe schon wieder so eine lange E-Mail von meinem Chef bekommen.
das Gas,gas,die Gase,Wir heizen mit Gas.
der Leib,body (L~),die Leiber,"Sie begann, ihm das Hemd vom Leib zu reißen."
die Entschuldigung,"apology, excuse",die Entschuldigungen,Dafür gibt es keine Entschuldigung.
die Konzentration,concentration,die Konzentrationen,Diese Aufgabe erfordert meine volle Konzentration.
die Erhöhung,increase (E~),die Erhöhungen,Der Angestellte forderte eine Erhöhung seines Gehalts.
die Kindheit,childhood,no plural,Ich hatte eine glückliche Kindheit.
das Klavier,piano,die Klaviere,Im Saal steht ein Klavier.
der Pilot,pilot,die Piloten,Der Pilot sitzt im Cockpit.
das Resultat,result (R~),die Resultate,Das Resultat konnte mich nicht überzeugen.
der Stock,"stick, floor (of building)",die Stöcke,Der alte Mann stützte sich auf seinen Stock.
die Milch,milk,die Milche,Babys trinken nur Milch.
der Riese,giant,die Riesen,Das Schloss wird von einem gefährlichen Riesen bewacht.
der Übersetzer,translator,die Übersetzer,Helge arbeitet als Übersetzer.
die Umfrage,survey,die Umfragen,In der letzten Umfrage kam die Opposition auf den ersten Platz.
die Strafe,punishment,die Strafen,"Es ist nicht leicht, sich sinnvolle Strafen auszudenken."
das Ufer,"shore, bank",die Ufer,Die Fähre liegt am anderen Ufer.
die Menschheit,humanity,no plural,Klimawandel betrifft die ganze Menschheit.
der Mord,murder,die Morde,Beim Fall Ötzi handelt es sich wahrscheinlich um Mord.
die Großmutter,grandmother,die Großmütter,Rotkäppchen brachte ihrer Großmutter Kuchen und Wein.
der Gesichtspunkt,point of view (G~),die Gesichtspunkte,Die Substanz muss nach medizinischen Gesichtspunkten eingesetzt werden.
das Dutzend,dozen,die Dutzend,Es waren etwa zwei Dutzend Leute da.
die Ernährung,"food, diet (E~)",die Ernährungen,Gesunde Ernährung enthält viel Obst und Gemüse.
das Baby,baby,die Babys,Maria bekam ihr Baby in Bethlehem.
die Differenz,difference (D~),die Differenzen,Die Differenz zwischen Umsatz und Kosten ist der Gewinn.
die Dunkelheit,darkness (long form),die Dunkelheiten,Die Wanderer wurden von der einbrechenden Dunkelheit überrascht.
das Eis,"ice, ice cream",no plural,Zum Nachtisch nehmen wir noch ein Eis.
die City,city centre (C~),die Citys,Immer mehr Geschäfte ziehen aus der City auf die grüne Wiese.
der Empfang,reception,der Empfänge,Sie bereiteten ihm einen festlichen Empfang.
der Empfänger,recipient,die Empfänger,Der Brief erreicht in ca. zwei Tagen seinen Empfänger.
der Franzose,"Frenchman, French",die Franzosen,Franzosen trinken Rotwein und essen Baguette.
die Hochzeit,wedding,die Hochzeiten,Am Wochenende bin ich zu einer Hochzeit eingeladen.
die Herkunft,origin (H~),die Herkünfte,Die Herkunft des Namens ist nicht bekannt.
der Onkel,uncle,die Onkel,Katrin hat einen Onkel in Alabama.
der Konkurrent,competitor,die Konkurrenten,Erfolgreiche Konkurrenten sollte man aufkaufen.
das Potenzial,potential,"die Potenziale, die Potentiale",Verona hat ein großes Potenzial.
das Muster,"pattern, model, sample (M~)",die Muster,Bei diesem Schlips gefällt mir das Muster nicht.
der Protest,protest,die Proteste,Die Kürzungen riefen heftige Proteste hervor.
der Reiz,"stimulus, appeal (R~)",die Reize,Der Reiz des Spiels liegt in seiner Unvorhersehbarkeit.
der Hunger,hunger,no plural,Hast du Hunger?
die Note,"note, grade",die Noten,Leider brachte er wieder schlechte Noten mit nach Hause.
die Last,"load, burden (L~)",die Lasten,Sie trägt die Last der Verantwortung.
das Lebensjahr,year (of one's life),die Lebensjahre,Im ersten Lebensjahr entwickeln sich Kinder in einem rasanten Tempo.
die Mischung,mixture,die Mischungen,"Dieser Früchtetee ist eine Mischung aus Apfel-, Orangen- und Birnenstücken."
der Sachverhalt,facts (S~),die Sachverhalte,Erich kann komplexe Sachverhalte schnell erfassen.
das Medium,medium,die Medien,Das Internet ist ein relativ neues Medium.
der Nachfolger,successor,die Nachfolger,Sein Nachfolger wird es nicht leicht haben.
die Konjunktur,"economic situation, (state of the) economy",die Konjunkturen,Die Reformen sollen die Konjunktur beleben.
der Rohstoff,raw material,die Rohstoffe,Holz ist ein nachwachsender Rohstoff.
die Sicherung,"securing, protection, fuse",die Sicherungen,Die Sicherung ist durchgebrannt.
die Verarbeitung,processing,die Verarbeitungen,Durch die Verarbeitung zu Konserven gehen dem Gemüse Vitamine verloren.
das Turnier,tournament,die Turniere,Das Turnier beginnt um drei.
der Schuss,shot,die Schüsse,Der Schuss traf ihn an der Schulter.
die Verteilung,distribution,die Verteilungen,Der Manager bemüht sich um eine gerechte Verteilung der Aufgaben.
die Übernahme,takeover,die Übernahmen,Die Firmenleitung kündigt die Übernahme durch die Konkurrenz an.
die Veröffentlichung,publication,die Veröffentlichungen,Der frisch gebackene Doktor kann schon auf zahlreiche Veröffentlichungen verweisen.
der Witz,joke,die Witze,Jakobus erzählt gern Witze.
der Sieger,winner,die Sieger,Der Sieger erhält einen Pokal.
das Taxi,taxi,die Taxis,Können Sie mir bitte ein Taxi rufen?
die Wiedervereinigung,reunification,die Wiedervereinigungen,Auch fünfzehn Jahre nach der Wiedervereinigung sind die Lebensumstände in beiden Teilen Deutschlands noch sehr unterschiedlich.
der Abschied,"departure, parting",die Abschiede,Es war ein tränenreicher Abschied.
die Strahlung,radiation,die Strahlungen,Das Gebiet ist mit radioaktiver Strahlung verseucht.
die Statistik,statistics,die Statistiken,"Glaube nur der Statistik, die du selbst gefälscht hast."
der Bewerber,applicant (B~),die Bewerber,Auf eine freie Stelle kommen zwanzig Bewerber.
die Benutzung,use (B~),die Benutzungen,Die Benutzung der Toilette ist kostenpflichtig.
der Ertrag,"yield, earnings",die Erträge,Auf diesem Boden bringen Kartoffeln gute Erträge.
der Flur,"hall, corridor (F~)",die Flure,Der Lärm hallt durch die Flure.
die Herstellung,production (H~),die Herstellungen,Die Herstellung von Lebensmitteln wird streng überwacht.
der Held,hero,die Helden,Die siegreichen Fußballer wurden wie Helden gefeiert.
das Defizit,deficit,die Defizite,Die Firma beendete das Haushaltsjahr mit einem Defizit von 200 000 Euro.
das Format,format,die Formate,Welches Format soll das Papier haben?
die Beurteilung,judgement (B~),die Beurteilungen,Der Schüler bekam eine gute Beurteilung.
die Einschränkung,restriction (Ein~),die Einschränkungen,Die Nutzung des Internets ist hier nur unter Einschränkungen möglich.
der Christ,Christian,die Christen,In Taize treffen sich Christen aller Konfessionen.
die Küste,coast,die Küsten,Die Küste ist über 200 km mit Öl verseucht.
die Kleidung,clothes,die Kleidungen,Schwarze Kleidung ist ein Ausdruck für Trauer.
die Kneipe,"pub, bar (K~)",die Kneipen,Nach der Arbeit treffen wir uns in der Kneipe zum Bier.
die Kette,chain,die Ketten,Sie trägt eine goldene Kette um den Hals.
die Messung,"measuring, measurement",die Messungen,Nach der Messung schaltet sich die Waage automatisch ab.
die Kammer,(small) room,die Kammern,Die Würste hängen in der Kammer.
das Messer,knife,die Messer,Das Messer liegt rechts neben dem Teller.
der Kaiser,emperor,die Kaiser,Kaiser Augustus ordnete eine Volkszählung an.
das Motto,motto,die Mottos,"Der Wettbewerb stand unter dem Motto „Schöner unsere Städte und Dörfer""."
der Kritiker,critic,die Kritiker,Die Kritiker haben das Stück sehr gelobt.
das Japanisch,Japanese (language),no plural,Antina spricht ein wenig Japanisch.
der Moslem,Muslim,die Moslems,Gläubige Moslems fasten im Ramadan.
der Nutzer,user (N~),die Nutzer,Alle Nutzer müssen eine Jahresgebühr von 30 Euro zahlen.
das Top,top,die Tops,Anke trägt gern eng anliegende Tops.
der Saal,hall (S~),die Säle,Der Saal fasst 400 Personen.
der Quadratmeter,square metre,die Quadratmeter,Das Grundstück ist 200 Quadratmeter groß.
die Schwäche,weakness,die Schwächen,Katja hat eine Schwäche für Schokolade.
der Passagier,passenger,die Passagiere,Zahlreiche Passagiere befanden sich auf dem Oberdeck.
die Premiere,opening night,die Premieren,Zur Premiere kamen nur geladene Gäste.
die Verbreitung,spread,die Verbreitungen,Der Begriff hat inzwischen eine weite Verbreitung gefunden.
die Probe,"sample, test, rehearsal",die Proben,Die Probe für das Theaterstück beginnt um acht.
das Tuch,cloth,"die Tücher, Tuche","Ein Sari ist ein langes Tuch, das kunstvoll um den Körper gewickelt wird."
die Überraschung,surprise,die Überraschungen,Das war eine gelungene Überraschung.
das Tennis,tennis,no plural,Mittwochs geht Steffi zum Tennis.
der Sektor,sector,"die Sektors, Sektoren",Der öffentliche Sektor leidet unter zu geringen Investitionen.
das Symptom,symptom,die Symptome,"Wenn die Ursachen nicht bekannt sind, werden nur die Symptome behandelt."
der Sprung,jump,die Sprünge,Das Lied schaffte den Sprung in die Top Ten.
die Übersetzung,translation,die Übersetzungen,Das ist aber eine schlechte Übersetzung.
das Zelt,tent,die Zelte,Pfadfinder schlafen in Zelten.
die Wiese,meadow,die Wiesen,Da stehen drei Kühe auf der Wiese.
die Wärme,warmth,no plural,Die Wärme entweicht durch schlecht isolierte Fenster.
die Auflösung,"dissolving, breaking up",die Auflösungen,Die Polizei fordert die Auflösung der Demonstration.
der Anhänger,"supporter, trailer (auto)",die Anhänger,Im Baumarkt kann man auch Anhänger ausleihen.
die Werbung,advertising,die Werbungen,Wieder mal nur Werbung im Briefkasten.
die Vorlage,"draft, model (not 'Vorbild')",die Vorlagen,Die Bücher werden gegen Vorlage des Benutzerausweises ausgegeben.
die Aufklärung,"enlightenment, solution",die Aufklärungen,Die Aufklärung des Mordfalls dauerte mehrere Jahre.
die Anzeige,"display, adverisement",die Anzeigen,"Wenn man der Anzeige glaubt, ist der Tank leer."
das Virus,virus,,Grippe wird durch Viren verursacht.
das Vorhaben,"plan, project (V~)",,Sie sprechen über ihre Vorhaben.
die Einigung,agreement (E~),,Die Streitenden kamen zu keiner Einigung.
die Einsicht,"view, insight (not 'Einblick')",,Wirst du Einsicht in deine Stasi-Akten nehmen?
das Bündnis,alliance (Bü~),,Ein Bündnis mit dieser Partei ist ausgeschlossen.
der Dialekt,dialect,die Dialekte,"Zuhause spricht Bett Dialekt, auf Arbeit nicht."
